date,count_average
5/11/2021,97.71428571
5/12/2021,92
5/13/2021,92
5/14/2021,95.28571429
5/15/2021,88.14285714
5/16/2021,87
5/17/2021,92.85714286
5/18/2021,94
5/19/2021,97.42857143
5/20/2021,97.42857143
5/21/2021,80.28571429
5/22/2021,82.57142857
5/23/2021,90.14285714
5/24/2021,95.28571429
5/25/2021,82.28571429
5/26/2021,82.42857143
5/27/2021,82.42857143
5/28/2021,79.42857143
5/29/2021,77.28571429
5/30/2021,62.28571429
5/31/2021,60.57142857
6/1/2021,63.85714286
6/2/2021,64.57142857
6/3/2021,64.57142857
6/4/2021,66.57142857
6/5/2021,65.42857143
6/6/2021,56.14285714
6/7/2021,39.57142857
6/8/2021,36
6/9/2021,30.57142857
6/10/2021,30.57142857
6/11/2021,30.71428571
6/12/2021,26.28571429
6/13/2021,21.85714286
6/14/2021,16.85714286
6/15/2021,14
6/16/2021,10.14285714
6/17/2021,10.14285714
6/18/2021,12
6/19/2021,11
6/20/2021,10.57142857
6/21/2021,12.42857143
6/22/2021,12
6/23/2021,12.14285714
6/24/2021,12.14285714
6/25/2021,8
6/26/2021,6.285714286
6/27/2021,6.142857143
6/28/2021,8.428571429
6/29/2021,9.142857143
6/30/2021,9
7/1/2021,9
7/2/2021,9
7/3/2021,10.42857143
7/4/2021,10.71428571
7/5/2021,8.857142857
7/6/2021,10
7/7/2021,10
7/8/2021,10
7/9/2021,12.42857143
7/10/2021,12.42857143
7/11/2021,12.71428571
7/12/2021,11.57142857
7/13/2021,10.71428571
7/14/2021,10.85714286
7/15/2021,10.85714286
7/16/2021,8.428571429
7/17/2021,12.85714286
7/18/2021,13.28571429
7/19/2021,15
7/20/2021,16.85714286
7/21/2021,17
7/22/2021,17
7/23/2021,25.14285714
7/24/2021,22.57142857
7/25/2021,27.28571429
7/26/2021,29.28571429
7/27/2021,30.28571429
7/28/2021,30
7/29/2021,35
7/30/2021,30.6
7/31/2021,30.25
